school,DID,courseNumber,description,courseName,credits,isActive
2,8,,...,,3,TRUE
2,8,222,...,Calculus II,3,TRUE
2,8,223,...,Calculus III,3,TRUE
2,8,215,...,Linear Algebra,3,TRUE
2,8,217,...,INT MATH REASON,3,TRUE
2,8,224,...,DIFFERENT EQUAT,3,TRUE
2,8,118,...,INTRO-STATISTICS,3,TRUE
2,8,273,...,MATH ELECTIVE,3,TRUE
2,8,901,...,MATH COURSE,3,TRUE
2,8,904,...,MATH COURSE,3,TRUE
2,7,112,...,COMPUTER PROGRAMMING I,3,TRUE
2,10,151,...,GENERAL PHYSICS I,3,TRUE
2,10,151L,...,GEN PHYSICS LAB I,1,TRUE
2,10,252,...,GEN PHYSICS II,3,TRUE
2,10,152L,...,GEN PHYSICS LAB II,1,TRUE
2,10,253,...,GEN PHYSICS III,3,TRUE
2,10,253L,...,GEN PHYSICS LAB III,1,TRUE
2,12,121,...,GEN CHEMISTRY I,3,TRUE
2,12,121L,...,GEN CHEM LAB I,1,TRUE
2,11,101,...,GENERAL BIOLOGY I,3,TRUE
2,11,101L,...,GEN BIO LAB I,1,TRUE
2,7,215,...,COMP SCI I,3,TRUE
2,7,272,...,CMSC ELECTIVES,3,TRUE
2,7,801,...,CIS ELECTIVE,3,TRUE
2,7,801L,...,COMPCI ELECTIVE,3,TRUE
2,8,215,...,LINEAR ALGERBRA,3,TRUE